"","country","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region","dollars_per_day","group"
"3272","Oman",1977,100.1,60.45,8.02,977806,5029076787,"Asia","Western Asia",14.0910288616794,"developing"
"3273","Pakistan",1977,126.1,57.63,6.6,70953777,22111361495,"Asia","Southern Asia",0.853782210762946,"developing"
"3274","Panama",1977,39,70.38,4.26,1837887,5340151941,"Americas","Central America",7.96052927248177,"developing"
"3275","Papua New Guinea",1977,82.5,50.91,5.9,2967620,1925690171,"Oceania","Melanesia",1.77780965291775,"developing"
"3276","Paraguay",1977,52.6,71.04,5.2,2935375,3167340618,"Americas","South America",2.95623064472755,"developing"
"3277","Peru",1977,87,60.63,5.44,16061327,35746297796,"Americas","South America",6.09756979948136,"developing"
"3278","Philippines",1977,54.2,63.44,5.51,43650333,44250234521,"Asia","South-Eastern Asia",2.77737902333108,"developing"
"3279","Poland",1977,23.3,70.78,2.27,34779313,NA,"Europe","Eastern Europe",NA,"developing"
"3280","Portugal",1977,29.5,70.37,2.57,9441167,55979725443,"Europe","Southern Europe",16.244719620227,"west"
"3281","Puerto Rico",1977,NA,73.15,2.77,3036799,25185919129,"Americas","Caribbean",22.7221222615141,"developing"
"3282","Qatar",1977,34,71.15,6.21,182370,NA,"Asia","Western Asia",NA,"developing"
"3283","Romania",1977,39.3,69.95,2.58,22083933,NA,"Europe","Eastern Europe",NA,"developing"
"3284","Russia",1977,28.7,67.85,1.92,135406786,NA,"Europe","Eastern Europe",NA,"developing"
"3285","Rwanda",1977,148,46.54,8.42,4648070,1028596868,"Africa","Eastern Africa",0.606288978212227,"developing"
"3286","St. Lucia",1977,31,66.54,5.22,112826,NA,"Americas","Caribbean",NA,"developing"
"3287","St. Vincent and the Grenadines",1977,55,66.36,4.54,97649,137740192.4,"Americas","Caribbean",3.86455969991486,"developing"
"3288","Samoa",1977,NA,61.44,6.55,153244,NA,"Oceania","Polynesia",NA,"developing"
"3289","Saudi Arabia",1977,83.4,63.95,7.3,8295384,132697452565,"Asia","Western Asia",43.8261404850751,"developing"
"3290","Senegal",1977,100.7,46.21,7.46,5160313,2699703576,"Africa","Western Africa",1.43333324033342,"developing"
"3291","Serbia",1977,NA,70.21,2.37,8663327,NA,"Europe","Southern Europe",NA,"west"
"3292","Seychelles",1977,33.5,67.59,4.41,62500,217275170.5,"Africa","Eastern Africa",9.52439103561644,"developing"
"3293","Sierra Leone",1977,173.2,50.11,7.01,2886607,827682017.4,"Africa","Western Africa",0.785566571923179,"developing"
"3294","Singapore",1977,12.3,69.98,1.95,2317796,17449848067,"Asia","South-Eastern Asia",20.626406691222,"developing"
"3295","Slovak Republic",1977,NA,70.58,2.47,4844392,NA,"Europe","Eastern Europe",NA,"developing"
"3296","Slovenia",1977,NA,70.66,2.17,1777316,NA,"Europe","Southern Europe",NA,"west"
"3297","Solomon Islands",1977,48.9,60.43,7.1,207942,NA,"Oceania","Melanesia",NA,"developing"
"3298","South Africa",1977,78.6,55.3,5.06,27009755,83775592976,"Africa","Southern Africa",8.49775099911074,"developing"
"3299","Spain",1977,19.7,74.32,2.59,36687352,317882414865,"Europe","Southern Europe",23.7387186095506,"west"
"3300","Sri Lanka",1977,45.6,67.6,3.63,14274023,5475218413,"Asia","Southern Asia",1.05090193505929,"developing"
"3301","Sudan",1977,89.8,56.44,6.92,12958110,6090888087,"Africa","Northern Africa",1.2877930980612,"developing"
"3302","Suriname",1977,NA,66.76,4.34,361053,968362652.3,"Americas","South America",7.34808563414721,"developing"
"3303","Swaziland",1977,93.9,53.24,6.76,550135,400224081.8,"Africa","Southern Africa",1.9931550141304,"developing"
"3304","Sweden",1977,8,75.39,1.65,8245975,150580732109,"Europe","Northern Europe",50.0304634665472,"west"
"3305","Switzerland",1977,9.8,75.43,1.57,6341216,NA,"Europe","Western Europe",NA,"west"
"3306","Syria",1977,53.9,64.24,7.36,8088148,7514369603,"Asia","Western Asia",2.5453681090927,"developing"
"3307","Tajikistan",1977,102.5,63.57,6.04,3608761,NA,"Asia","Central Asia",NA,"developing"
"3308","Tanzania",1977,114,53.19,6.73,17018013,NA,"Africa","Eastern Africa",NA,"developing"
"3309","Thailand",1977,52.9,63.15,4.03,44416007,30494953638,"Asia","South-Eastern Asia",1.88102947179159,"developing"
"3310","Timor-Leste",1977,NA,40.25,4.51,630151,NA,"Asia","South-Eastern Asia",NA,"developing"
"3311","Togo",1977,114.1,52.09,7.28,2518566,778121010.9,"Africa","Western Africa",0.846449283452328,"developing"
"3312","Tonga",1977,27.7,66.39,5.47,90296,NA,"Oceania","Polynesia",NA,"developing"
"3313","Trinidad and Tobago",1977,37.4,67.33,3.27,1039757,5953740038,"Americas","Caribbean",15.6879122164753,"developing"
"3314","Tunisia",1977,83.2,61.15,5.71,5915006,7833564438,"Africa","Northern Africa",3.62836831916691,"developing"
"3315","Turkey",1977,101.5,59.55,4.74,41020211,113864169358,"Asia","Western Asia",7.60494938405076,"developing"
"3316","Turkmenistan",1977,106.2,61,5.44,2655036,NA,"Asia","Central Asia",NA,"developing"
"3317","Uganda",1977,123.3,51.75,7.1,11470741,NA,"Africa","Eastern Africa",NA,"developing"
"3318","Ukraine",1977,24.2,69.68,2,49290087,NA,"Europe","Eastern Europe",NA,"developing"
"3319","United Arab Emirates",1977,38.2,65.41,5.74,722849,42310298856,"Asia","Western Asia",160.363543427105,"developing"
"3320","United Kingdom",1977,14.1,73.11,1.74,56224944,814021126299,"Europe","Northern Europe",39.6655773738539,"west"
"3321","United States",1977,14.5,73.38,1.78,223090871,4733336983895,"Americas","Northern America",58.1289878563394,"west"
"3322","Uruguay",1977,46.5,69.8,2.91,2857107,13826763086,"Americas","South America",13.258706342244,"developing"
"3323","Uzbekistan",1977,NA,65.37,5.66,14762133,NA,"Asia","Central Asia",NA,"developing"
"3324","Vanuatu",1977,59.9,55.64,5.79,106223,NA,"Oceania","Melanesia",NA,"developing"
"3325","Venezuela",1977,39.2,68.52,4.48,14127790,89105733312,"Americas","South America",17.2797937076645,"developing"
"3326","West Bank and Gaza",1977,69.8,63.39,7.52,1398295,NA,"Asia","Western Asia",NA,"developing"
"3327","Vietnam",1977,49.8,63.58,5.61,50899504,NA,"Asia","South-Eastern Asia",NA,"developing"
"3328","Yemen",1977,164.6,48.06,8.47,7226885,NA,"Asia","Western Asia",NA,"developing"
"3329","Zambia",1977,95.1,57.36,7.38,5343550,2716902250,"Africa","Eastern Africa",1.39300049746314,"developing"
"3330","Zimbabwe",1977,69.8,60.53,7.33,6580739,3177462512,"Africa","Eastern Africa",1.32285701426625,"developing"
"3331","Albania",1978,73,70.86,3.95,2571845,NA,"Europe","Southern Europe",NA,"west"
"3332","Algeria",1978,113.6,58.28,7.14,18212331,32578260067,"Africa","Northern Africa",4.900828292264,"developing"
"3333","Angola",1978,NA,45.5,7.19,7717139,NA,"Africa","Middle Africa",NA,"developing"
"3334","Antigua and Barbuda",1978,NA,69.96,2.24,70508,279489899.3,"Americas","Caribbean",10.8601258226988,"developing"
"3335","Argentina",1978,43.8,69.57,3.39,27277742,184781583443,"Americas","South America",18.5591209691207,"developing"
"3336","Armenia",1978,65.9,72.53,2.48,2991954,NA,"Asia","Western Asia",NA,"developing"
"3337","Aruba",1978,NA,71.74,2.43,60106,NA,"Americas","Caribbean",NA,"developing"
"3338","Australia",1978,12,73.84,1.95,14368543,198667157375,"Oceania","Australia and New Zealand",37.8809167950651,"west"
"3339","Austria",1978,15.5,72.2,1.6,7616309,110210736056,"Europe","Western Europe",39.6448229806896,"west"
"3340","Azerbaijan",1978,NA,65.68,3.54,5975045,NA,"Asia","Western Asia",NA,"developing"
"3341","Bahamas",1978,26.2,66.37,3.01,201511,2814808937,"Americas","Caribbean",38.2698974589442,"developing"
"3342","Bahrain",1978,30.4,68.21,5.16,323511,NA,"Asia","Western Asia",NA,"developing"
"3343","Bangladesh",1978,139.1,51.47,6.59,76948378,19364971579,"Asia","Southern Asia",0.689484535395854,"developing"
"3344","Barbados",1978,26.7,69.22,2.12,250035,1734637071,"Americas","Caribbean",19.0070603375801,"developing"
"3345","Belarus",1978,NA,71.23,2.09,9535069,NA,"Europe","Eastern Europe",NA,"developing"
"3346","Belgium",1978,13.5,72.64,1.69,9825779,143199627555,"Europe","Western Europe",39.9284114497209,"west"
"3347","Belize",1978,53.8,69.06,6.11,138972,233528000,"Americas","Central America",4.60382479726871,"developing"
"3348","Benin",1978,133.6,48.43,7,3523270,953102195,"Africa","Western Africa",0.741140727338796,"developing"
"3349","Bhutan",1978,143.3,50.21,6.64,387731,NA,"Asia","Southern Asia",NA,"developing"
"3350","Bolivia",1978,118.1,52.54,5.76,5350320,5804687265,"Americas","South America",2.97239282525567,"developing"
"3351","Bosnia and Herzegovina",1978,NA,74.12,2.2,4073480,NA,"Europe","Southern Europe",NA,"west"
"3352","Botswana",1978,60.2,59.21,6.35,923305,915310388.5,"Africa","Southern Africa",2.7160035898436,"developing"
"3353","Brazil",1978,82,63.07,4.26,116532153,369443725457,"Americas","South America",8.68579670276195,"developing"
"3354","Brunei",1978,NA,70.33,4.65,180357,5065919390,"Asia","South-Eastern Asia",76.9542141723329,"developing"
"3355","Bulgaria",1978,26.8,71.24,2.17,8815565,NA,"Europe","Eastern Europe",NA,"developing"
"3356","Burkina Faso",1978,123.4,45.56,7.04,6530820,1053335771,"Africa","Western Africa",0.441881942450911,"developing"
"3357","Burundi",1978,140,45.24,7.46,3917866,641842241.4,"Africa","Eastern Africa",0.448834108733319,"developing"
"3358","Cambodia",1978,143.3,19.55,5.46,6982522,NA,"Asia","South-Eastern Asia",NA,"developing"
"3359","Cameroon",1978,113,53.95,6.52,8425707,6097902039,"Africa","Middle Africa",1.98281057349456,"developing"
"3360","Canada",1978,11.8,74.46,1.7,23994948,388464263753,"Americas","Northern America",44.3545722256955,"west"
"3361","Cape Verde",1978,66.4,60.82,6.56,278152,NA,"Africa","Western Africa",NA,"developing"
"3362","Central African Republic",1978,121,49.7,5.95,2158844,789209202.1,"Africa","Middle Africa",1.00156240657259,"developing"
"3363","Chad",1978,128.1,49.72,6.89,4336389,900831998.3,"Africa","Middle Africa",0.569144712814001,"developing"
"3364","Chile",1978,35.6,67.25,2.79,10907901,23779489868,"Americas","South America",5.97266947230169,"developing"
"3365","China",1978,52.9,62.15,2.74,950537317,157717651819,"Asia","Eastern Asia",0.454588313305003,"developing"
"3366","Colombia",1978,50,66.79,4.25,26502172,49482760497,"Americas","South America",5.11539985632483,"developing"
"3367","Comoros",1978,126.2,52.3,7.11,286583,NA,"Africa","Eastern Africa",NA,"developing"
"3368","Congo, Dem. Rep.",1978,135.4,51.11,6.49,24948113,6835754757,"Africa","Middle Africa",0.750681834119379,"developing"
"3369","Congo, Rep.",1978,74.4,54.97,6.27,1699781,1351912922,"Africa","Middle Africa",2.17902836846516,"developing"
"3370","Costa Rica",1978,23.9,72,3.72,2266153,7068146069,"Americas","Central America",8.5452234472628,"developing"
"3371","Cote d'Ivoire",1978,120.2,51.7,7.77,7569558,8475427578,"Africa","Western Africa",3.0675964869768,"developing"
"3372","Croatia",1978,NA,70.3,2.01,4555413,NA,"Europe","Southern Europe",NA,"west"
"3373","Cuba",1978,18.7,73.3,2.13,9711393,24598183991,"Americas","Caribbean",6.93950753582409,"developing"
"3374","Cyprus",1978,NA,74.58,2.31,673252,2911001893,"Asia","Western Asia",11.846006624644,"developing"
"3375","Czech Republic",1978,NA,71.02,2.28,10251436,NA,"Europe","Eastern Europe",NA,"developing"
"3376","Denmark",1978,8.8,74.59,1.67,5108836,97521734448,"Europe","Northern Europe",52.2981818371366,"west"
"3377","Djibouti",1978,124.3,56.15,6.6,308213,NA,"Africa","Eastern Africa",NA,"developing"
"3378","Dominican Republic",1978,68.2,65.19,4.69,5543520,9333623790,"Americas","Caribbean",4.61287630014815,"developing"
"3379","Ecuador",1978,73.6,63.51,5.02,7571953,9902954836,"Americas","South America",3.583142039092,"developing"
"3380","Egypt",1978,126,57.45,5.47,41324806,33008806121,"Africa","Northern Africa",2.18839709164064,"developing"
"3381","El Salvador",1978,86.2,58.09,5.39,4415625,10295479447,"Americas","Central America",6.3879502914037,"developing"
"3382","Equatorial Guinea",1978,NA,44.04,5.69,215284,NA,"Africa","Middle Africa",NA,"developing"
"3383","Eritrea",1978,117.5,46.09,6.62,2251129,NA,"Africa","Eastern Africa",NA,"developing"
"3384","Estonia",1978,NA,69.87,2.07,1454309,NA,"Europe","Northern Europe",NA,"west"
"3385","Ethiopia",1978,143.7,42.07,7.23,34053431,NA,"Africa","Eastern Africa",NA,"developing"
"3386","Fiji",1978,38.2,62.09,3.97,609348,1054890128,"Oceania","Melanesia",4.74295466584945,"developing"
"3387","Finland",1978,8.1,73.13,1.65,4749940,65082918740,"Europe","Northern Europe",37.5392881617366,"west"
"3388","France",1978,11,74.12,1.87,53685486,820703033189,"Europe","Western Europe",41.8828556528627,"west"
"3389","French Polynesia",1978,NA,63.28,4.19,143033,1498155466,"Oceania","Polynesia",28.6964233658503,"developing"
"3390","Gabon",1978,79,51.81,5.6,694734,3488295169,"Africa","Middle Africa",13.7563053855914,"developing"
"3391","Gambia",1978,107.6,51.61,6.34,567828,380481791,"Africa","Western Africa",1.83579511005696,"developing"
"3392","Georgia",1978,52,69.31,2.38,5004521,7547190094,"Asia","Western Asia",4.13171073400363,"developing"
"3393","Germany",1978,14.4,72.6,1.49,78426715,1171070558919,"Europe","Western Europe",40.9096886206319,"west"
"3394","Ghana",1978,103.8,52.63,6.67,10354490,2695255677,"Africa","Western Africa",0.713145903735203,"developing"
"3395","Greece",1978,24.3,73.38,2.28,9388188,88651073971,"Europe","Southern Europe",25.8707702396957,"west"
"3396","Greenland",1978,NA,63.78,2.2,49864,715095900.6,"Americas","Northern America",39.2902063805331,"west"
"3397","Grenada",1978,NA,67.07,4.3,89070,191213323.2,"Americas","Caribbean",5.88157761711198,"developing"
"3398","Guatemala",1978,93.7,58.22,6.2,6754258,10873762420,"Americas","Central America",4.4107183820648,"developing"
"3399","Guinea",1978,176.2,41.63,6.47,4416074,NA,"Africa","Western Africa",NA,"developing"
"3400","Guinea-Bissau",1978,134.2,47.27,6.33,819371,133620004.7,"Africa","Western Africa",0.446784429345845,"developing"
"3401","Guyana",1978,53.8,62.03,4.2,773227,624585076.4,"Americas","South America",2.21305255783487,"developing"
"3402","Haiti",1978,135.8,49.97,5.87,5450550,NA,"Americas","Caribbean",NA,"developing"
"3403","Honduras",1978,75.3,60.8,6.54,3413426,3841451879,"Americas","Central America",3.08327343141185,"developing"
"3404","Hong Kong, China",1978,NA,74.35,2.26,4786580,48845400325,"Asia","Eastern Asia",27.9579605039592,"developing"
"3405","Hungary",1978,27.1,69.56,2.08,10704187,39236850937,"Europe","Eastern Europe",10.042633013157,"developing"
"3406","Iceland",1978,8.7,76.66,2.42,224019,4654380211,"Europe","Northern Europe",56.9225226676284,"west"
"3407","India",1978,120.7,54.14,4.84,665936435,159196957387,"Asia","Southern Asia",0.654951470909707,"developing"
"3408","Indonesia",1978,90,57.87,4.68,140665859,50517919166,"Asia","South-Eastern Asia",0.983929284426018,"developing"
"3409","Iran",1978,89.4,57.52,6.35,35977589,71085306304,"Asia","Southern Asia",5.4132105363307,"developing"
"3410","Iraq",1978,58.9,58.94,6.75,12859226,NA,"Asia","Western Asia",NA,"developing"
"3411","Ireland",1978,14.2,72.98,3.22,3339499,NA,"Europe","Northern Europe",NA,"west"
"3412","Israel",1978,17.2,72.9,3.43,3594470,43894054771,"Asia","Western Asia",33.4563049084036,"developing"
"3413","Italy",1978,16.1,73.78,1.9,55983298,677700885301,"Europe","Southern Europe",33.1655122256162,"west"
"3414","Jamaica",1978,34.7,73.21,3.97,2089015,6218412165,"Americas","Caribbean",8.15539651823192,"developing"
"3415","Japan",1978,8.3,75.67,1.84,114054587,2478903353776,"Asia","Eastern Asia",59.5461893851097,"developing"
"3416","Jordan",1978,47.2,66.46,7.39,2146662,3244118237,"Asia","Western Asia",4.14037942156847,"developing"
"3417","Kazakhstan",1978,60.3,65.41,3.05,14610810,NA,"Asia","Central Asia",NA,"developing"
"3418","Kenya",1978,73.7,58.74,7.62,15081598,6228454046,"Africa","Eastern Africa",1.13146217398673,"developing"
"3419","Kiribati",1978,86.8,52.97,5.03,57664,85195015.3,"Oceania","Micronesia",4.04777679005823,"developing"
"3420","South Korea",1978,15.4,65.31,2.88,36356187,121707854639,"Asia","Eastern Asia",9.17164875109567,"developing"
"3421","Kuwait",1978,33.9,72.72,5.87,1247597,NA,"Asia","Western Asia",NA,"developing"
"3422","Kyrgyz Republic",1978,82.8,62.3,4.08,3491143,NA,"Asia","Central Asia",NA,"developing"
"3423","Lao",1978,139.6,46.47,6.19,3164146,NA,"Asia","South-Eastern Asia",NA,"developing"
"3424","Latvia",1978,NA,69.45,1.9,2491980,7497186771,"Europe","Northern Europe",8.24253715068625,"west"
"3425","Lebanon",1978,42.6,66.96,4.18,2604875,NA,"Asia","Western Asia",NA,"developing"
"3426","Lesotho",1978,101.8,53.38,5.67,1241159,376392532.8,"Africa","Southern Africa",0.830846344932548,"developing"
"3427","Liberia",1978,165.7,45.92,6.95,1775200,1324754198,"Africa","Western Africa",2.04453783019625,"developing"
"3428","Libya",1978,62.5,66.62,7.94,2952877,NA,"Africa","Northern Africa",NA,"developing"
"3429","Lithuania",1978,19.3,70.93,2.1,3380879,NA,"Europe","Northern Europe",NA,"west"
"3430","Luxembourg",1978,12.2,71.57,1.48,361078,7411542534,"Europe","Western Europe",56.2360375973104,"west"
"3431","Macao, China",1978,NA,71.94,1.49,242458,NA,"Asia","Eastern Asia",NA,"developing"
"3432","Macedonia, FYR",1978,NA,68.88,2.63,1877687,NA,"Europe","Southern Europe",NA,"west"
"3433","Madagascar",1978,103,52.12,6.86,8268902,2798147405,"Africa","Eastern Africa",0.92710704201992,"developing"
"3434","Malawi",1978,163.8,44.92,7.61,5807170,953796182.7,"Africa","Eastern Africa",0.449985143637149,"developing"
"3435","Malaysia",1978,28.8,68.21,3.91,13191699,22482860323,"Asia","South-Eastern Asia",4.66936651581121,"developing"
"3436","Maldives",1978,117.7,54.51,6.95,148797,NA,"Asia","Southern Asia",NA,"developing"
"3437","Mali",1978,168.7,40.79,7.02,6831530,1454252926,"Africa","Western Africa",0.583215559586333,"developing"
"3438","Malta",1978,16.2,73.92,2.1,313953,1360977788,"Europe","Southern Europe",11.8766384410824,"west"
"3439","Mauritania",1978,100.1,53.89,6.54,1448664,762041097.6,"Africa","Western Africa",1.44117878889867,"developing"
"3440","Mauritius",1978,36.3,65.87,2.95,937820,1631927648,"Africa","Eastern Africa",4.76747633027105,"developing"
"3441","Mexico",1978,60.7,66.05,5.16,66025613,288385448038,"Americas","Central America",11.9665245351426,"developing"
"3442","Micronesia, Fed. Sts.",1978,NA,63.37,6.4,68221,NA,"Oceania","Micronesia",NA,"developing"
"3443","Moldova",1978,41.6,65.47,2.45,3942141,NA,"Europe","Eastern Europe",NA,"developing"
"3444","Mongolia",1978,121.8,58.4,6.59,1603908,NA,"Asia","Eastern Asia",NA,"developing"
"3445","Montenegro",1978,NA,72.75,2.35,570062,NA,"Europe","Southern Europe",NA,"west"
"3446","Morocco",1978,100.7,58.39,5.88,19133462,18493841033,"Africa","Northern Africa",2.64813851380673,"developing"
"3447","Mozambique",1978,175.7,48.52,6.52,11320103,NA,"Africa","Eastern Africa",NA,"developing"
"3448","Namibia",1978,63.7,57.07,6.58,970569,NA,"Africa","Southern Africa",NA,"developing"
"3449","Nepal",1978,148.3,48.94,5.82,14228941,2126318022,"Asia","Southern Asia",0.409414082706314,"developing"
"3450","Netherlands",1978,9.3,75.11,1.58,13925970,214709855410,"Europe","Western Europe",42.240948329307,"west"
"3451","New Caledonia",1978,NA,66.25,3.88,137223,1646530695,"Oceania","Melanesia",32.8738112415557,"developing"
"3452","New Zealand",1978,13.5,73.14,2.19,3129098,31613826996,"Oceania","Australia and New Zealand",27.6799335292712,"west"
"3453","Nicaragua",1978,86.7,64.73,6.33,3065118,4204112424,"Americas","Central America",3.75780515795378,"developing"
"3454","Niger",1978,137.2,40.9,7.65,5635954,1454293440,"Africa","Western Africa",0.706954951910732,"developing"
"3455","Nigeria",1978,132.2,50.84,6.77,69512233,28271610954,"Africa","Western Africa",1.1142854289708,"developing"
"3456","Norway",1978,8.8,75.54,1.77,4056280,83654855453,"Europe","Northern Europe",56.5028510859062,"west"
"3457","Oman",1978,92.9,61.57,8.14,1032799,4843326253,"Asia","Western Asia",12.8479859048281,"developing"
"3458","Pakistan",1978,124.7,58.05,6.58,73204087,23891001859,"Asia","Southern Asia",0.89414132866241,"developing"
"3459","Panama",1978,37.9,70.85,4.13,1884512,5860278419,"Americas","Central America",8.51974267732377,"developing"
"3460","Papua New Guinea",1978,80.6,51.65,5.84,3047769,2090333990,"Oceania","Melanesia",1.87906053193538,"developing"
"3461","Paraguay",1978,51.6,71.28,5.2,3012833,3526837251,"Americas","South America",3.20713687448289,"developing"
"3462","Peru",1978,85.5,61.28,5.3,16491087,35847365594,"Americas","South America",5.9554570618363,"developing"
"3463","Philippines",1978,54,63.6,5.4,44866279,46538902356,"Asia","South-Eastern Asia",2.84186353121089,"developing"
"3464","Poland",1978,22.5,70.71,2.28,35100942,NA,"Europe","Eastern Europe",NA,"developing"
"3465","Portugal",1978,26.8,70.83,2.49,9560753,57556095543,"Europe","Southern Europe",16.4932545579329,"west"
"3466","Puerto Rico",1978,NA,73.28,2.72,3089805,26850464791,"Americas","Caribbean",23.8082717956688,"developing"
"3467","Qatar",1978,32.4,71.49,6.08,192018,NA,"Asia","Western Asia",NA,"developing"
"3468","Romania",1978,37.8,70.01,2.51,22279485,NA,"Europe","Eastern Europe",NA,"developing"
"3469","Russia",1978,28.2,67.89,1.9,136259517,NA,"Europe","Eastern Europe",NA,"developing"
"3470","Rwanda",1978,144.9,46.81,8.44,4804375,1122722130,"Africa","Eastern Africa",0.640239581859428,"developing"
"3471","St. Lucia",1978,29.3,67.1,5.06,114551,NA,"Americas","Caribbean",NA,"developing"
"3472","St. Vincent and the Grenadines",1978,52.1,66.61,4.34,98634,154136395.2,"Americas","Caribbean",4.2813988452119,"developing"
"3473","Samoa",1978,NA,62.02,6.43,154010,NA,"Oceania","Polynesia",NA,"developing"
"3474","Saudi Arabia",1978,79,65.01,7.28,8785326,131404162525,"Asia","Western Asia",40.9787188521043,"developing"
"3475","Senegal",1978,97.3,47.33,7.45,5289445,2592959153,"Africa","Western Africa",1.3430516206241,"developing"
"3476","Serbia",1978,NA,70.37,2.36,8746982,NA,"Europe","Southern Europe",NA,"west"
"3477","Seychelles",1978,30.5,67.89,4.2,63880,263232544.7,"Africa","Eastern Africa",11.2896846269975,"developing"
"3478","Sierra Leone",1978,171.2,50.83,7.04,2951001,847598796,"Africa","Western Africa",0.786915518561932,"developing"
"3479","Singapore",1978,12.3,70.34,1.83,2344224,18963876784,"Asia","South-Eastern Asia",22.1633371237047,"developing"
"3480","Slovak Republic",1978,NA,70.59,2.44,4895130,NA,"Europe","Eastern Europe",NA,"developing"
"3481","Slovenia",1978,NA,70.77,2.14,1795649,NA,"Europe","Southern Europe",NA,"west"
"3482","Solomon Islands",1978,46.3,60.89,6.99,215353,NA,"Oceania","Melanesia",NA,"developing"
"3483","South Africa",1978,74.9,55.77,4.97,27674446,86301014760,"Africa","Southern Africa",8.54366285521188,"developing"
"3484","Spain",1978,18.4,74.51,2.48,37055640,322533045314,"Europe","Southern Europe",23.8466311455548,"west"
"3485","Sri Lanka",1978,43.7,68.06,3.56,14534087,5784778418,"Asia","Southern Asia",1.09045088243386,"developing"
"3486","Sudan",1978,89.1,56.63,6.89,13429688,5729638367,"Africa","Northern Africa",1.16887595316018,"developing"
"3487","Suriname",1978,NA,67.07,4.18,361463,1040422000,"Americas","South America",7.88592811124987,"developing"
"3488","Swaziland",1978,90.4,53.92,6.73,567560,405535575.5,"Africa","Southern Africa",1.95760161257466,"developing"
"3489","Sweden",1978,7.6,75.48,1.6,8272499,153218225975,"Europe","Northern Europe",50.7435493888053,"west"
"3490","Switzerland",1978,9.2,75.39,1.54,6321583,NA,"Europe","Western Europe",NA,"west"
"3491","Syria",1978,51.5,64.84,7.29,8363346,8170120908,"Asia","Western Asia",2.67642793908445,"developing"
"3492","Tajikistan",1978,101.3,63.81,5.89,3707624,NA,"Asia","Central Asia",NA,"developing"
"3493","Tanzania",1978,111.9,53.61,6.71,17556148,NA,"Africa","Eastern Africa",NA,"developing"
"3494","Thailand",1978,50.8,63.62,3.81,45423442,33634638293,"Asia","South-Eastern Asia",2.0286814449998,"developing"
"3495","Timor-Leste",1978,NA,40.27,4.51,606295,NA,"Asia","South-Eastern Asia",NA,"developing"
"3496","Togo",1978,111.7,52.7,7.27,2576468,864067857.7,"Africa","Western Africa",0.918819561965482,"developing"
"3497","Tonga",1978,26.6,66.61,5.51,91360,NA,"Oceania","Polynesia",NA,"developing"
"3498","Trinidad and Tobago",1978,36.3,67.54,3.27,1054109,6550094967,"Americas","Caribbean",17.0242979265083,"developing"
"3499","Tunisia",1978,78.1,62.27,5.61,6054914,8338083138,"Africa","Northern Africa",3.77281384868238,"developing"
"3500","Turkey",1978,97.7,60.29,4.61,41953105,115575471186,"Asia","Western Asia",7.54759693083471,"developing"
"3501","Turkmenistan",1978,102.8,61.28,5.28,2723006,NA,"Asia","Central Asia",NA,"developing"
"3502","Uganda",1978,125.6,51.83,7.1,11817951,NA,"Africa","Eastern Africa",NA,"developing"
"3503","Ukraine",1978,23.8,69.63,1.99,49525597,NA,"Europe","Eastern Europe",NA,"developing"
"3504","United Arab Emirates",1978,34.8,65.93,5.62,827394,41637732956,"Asia","Western Asia",137.873831211454,"developing"
"3505","United Kingdom",1978,13.4,73.04,1.73,56223974,840405929358,"Europe","Northern Europe",40.9519611374517,"west"
"3506","United States",1978,13.8,73.58,1.75,225239456,4999656497074,"Americas","Northern America",60.8138968026963,"west"
"3507","Uruguay",1978,43.2,70.05,2.85,2875970,14569811305,"Americas","South America",13.8795923624291,"developing"
"3508","Uzbekistan",1978,NA,65.64,5.48,15148932,NA,"Asia","Central Asia",NA,"developing"
"3509","Vanuatu",1978,57.4,56.24,5.72,109429,NA,"Oceania","Melanesia",NA,"developing"
"3510","Venezuela",1978,37.9,68.79,4.39,14525929,91196952546,"Americas","South America",17.2005979452047,"developing"
"3511","West Bank and Gaza",1978,66,64.18,7.46,1433382,NA,"Asia","Western Asia",NA,"developing"
"3512","Vietnam",1978,48.8,64.86,5.42,52015279,NA,"Asia","South-Eastern Asia",NA,"developing"
"3513","Yemen",1978,156.1,49.08,8.67,7485921,NA,"Asia","Western Asia",NA,"developing"
"3514","Zambia",1978,95.3,57.57,7.33,5532350,2731947475,"Africa","Eastern Africa",1.35291288561637,"developing"
"3515","Zimbabwe",1978,69.2,61.17,7.27,6796946,3091451041,"Africa","Eastern Africa",1.24610801372441,"developing"
"3516","Albania",1979,68.4,71.14,3.81,2626290,NA,"Europe","Southern Europe",NA,"west"
"3517","Algeria",1979,107.8,59.56,7.02,18760761,35014405842,"Africa","Northern Africa",5.11332557454242,"developing"
"3518","Angola",1979,NA,45.84,7.2,7952882,NA,"Africa","Middle Africa",NA,"developing"
"3519","Antigua and Barbuda",1979,NA,70.28,2.16,70553,300014434.3,"Americas","Caribbean",11.6502112489416,"developing"
"3520","Argentina",1979,40.3,69.89,3.37,27684530,203671367615,"Americas","South America",20.1557962837155,"developing"
"3521","Armenia",1979,63.5,72.63,2.42,3044564,NA,"Asia","Western Asia",NA,"developing"
"3522","Aruba",1979,NA,72.02,2.41,59978,NA,"Americas","Caribbean",NA,"developing"
"3523","Australia",1979,11.3,74.4,1.91,14532401,206839366822,"Oceania","Australia and New Zealand",38.9944646292518,"west"
